id,name
CALIDCOMPAR_NUDOPROPIETARIO,NUDOPROPIETARIO
CALIDCOMPAR_ADJUDICADOR,ADJUDICADOR
CALIDCOMPAR_EXPROPIADO,EXPROPIADO
CALIDCOMPAR_INCAPAZ,INCAPAZ
CALIDCOMPAR_GARANTE_FIADOR_ACLARANTE,GARANTE / FIADOR ACLARANTE
CALIDCOMPAR_DERECHOHABIENTE,DERECHOHABIENTE
CALIDCOMPAR_PROMITENTE_COMPRADOR,PROMITENTE COMPRADOR
CALIDCOMPAR_COMODATARIO,COMODATARIO
CALIDCOMPAR_DEUDOR_FIADOR,DEUDOR / FIADOR
CALIDCOMPAR_GARANTE,GARANTE
CALIDCOMPAR_PROMITENTE_COMPRADOR_ACLARANTE,PROMITENTE COMPRADOR ACLARANTE
CALIDCOMPAR_ACREEDOR_HIPOTECARIO,ACREEDOR HIPOTECARIO
CALIDCOMPAR_POSEEDOR,POSEEDOR
CALIDCOMPAR_ARRENDATARIO_ACLARANTE,ARRENDATARIO ACLARANTE
CALIDCOMPAR_DONATARIO,DONATARIO
CALIDCOMPAR_TRADENTE,TRADENTE
CALIDCOMPAR_ACREEDOR_CANCELANTE,ACREEDOR  CANCELANTE
CALIDCOMPAR_ACLARANTE_PERMUTANTE,ACLARANTE / PERMUTANTE
CALIDCOMPAR_ARRENDATARIO,ARRENDATARIO
CALIDCOMPAR_APORTANTE,APORTANTE
CALIDCOMPAR_INTERDICTO,INTERDICTO
CALIDCOMPAR_DEUDOR,DEUDOR
CALIDCOMPAR_DENUNCIANTE,DENUNCIANTE
CALIDCOMPAR_DONANTE,DONANTE
CALIDCOMPAR_RENUNCIANTE,RENUNCIANTE
CALIDCOMPAR_SECRETARIO,SECRETARIO
CALIDCOMPAR_LEGATARIO,LEGATARIO
CALIDCOMPAR_PROMINENTE_VENDEDOR_ACLARANTE,PROMINENTE VENDEDOR ACLARANTE
CALIDCOMPAR_CONSTITUYENTE,CONSTITUYENTE
CALIDCOMPAR_CONYUGE_SOBREVIVIENTE,CONYUGE SOBREVIVIENTE
CALIDCOMPAR_PROPIETARIO,PROPIETARIO
CALIDCOMPAR_COPROPIETARIOS,COPROPIETARIOS
CALIDCOMPAR_PERMUTADO,PERMUTADO
CALIDCOMPAR_AUTORIDAD_COMPETENTE,AUTORIDAD COMPETENTE
CALIDCOMPAR_INSOLVENTE,INSOLVENTE
CALIDCOMPAR_PROMITENTE_TRADENTE,PROMITENTE TRADENTE
CALIDCOMPAR_COMPAÑÍA,COMPAÑÍA
CALIDCOMPAR_DEUDOR_ACLARANTE,DEUDOR ACLARANTE
CALIDCOMPAR_PROMITENTE_DONANTE,PROMITENTE DONANTE
CALIDCOMPAR_ADJUDICATARIO,ADJUDICATARIO
CALIDCOMPAR_ACREEDOR,ACREEDOR
CALIDCOMPAR_PROMITENTE_VENDEDOR,PROMITENTE VENDEDOR
CALIDCOMPAR_COMODANTE,COMODANTE
CALIDCOMPAR_PROMITENTE_ADQUIRENTE,PROMITENTE ADQUIRENTE
CALIDCOMPAR_ACTOR,ACTOR
CALIDCOMPAR_CAUSANTE,CAUSANTE
CALIDCOMPAR_CÓNYUGE_SOBREVIVIENTE_HEREDERO,CÓNYUGE SOBREVIVIENTE / HEREDERO
CALIDCOMPAR_COMPRADOR,COMPRADOR
CALIDCOMPAR_ACLARANTE_/ADJUDICATARIO,ACLARANTE /ADJUDICATARIO
CALIDCOMPAR_ABSORBENTE,ABSORBENTE
CALIDCOMPAR_ADQUIRENTE,ADQUIRENTE
CALIDCOMPAR_FIDEICOMISO,FIDEICOMISO
CALIDCOMPAR_MUNICIPIO,MUNICIPIO
CALIDCOMPAR_PERMUTANTE,PERMUTANTE
CALIDCOMPAR_CURADOR,CURADOR
CALIDCOMPAR_ARRENDADOR,ARRENDADOR
CALIDCOMPAR_PROMITENTE_CESIONARIO,PROMITENTE CESIONARIO
CALIDCOMPAR_HEREDEROS,HEREDEROS
CALIDCOMPAR_PROMITENTE_CEDENTE,PROMITENTE CEDENTE
CALIDCOMPAR_HEREDERO_RENUNCIANTE,HEREDERO RENUNCIANTE
CALIDCOMPAR_USUARIO,USUARIO
CALIDCOMPAR_PROMITENTE_DONATARIO,PROMITENTE DONATARIO
CALIDCOMPAR_BENEFICIARIO,BENEFICIARIO
CALIDCOMPAR_VENDEDOR,VENDEDOR
CALIDCOMPAR_SOCIO,SOCIO
CALIDCOMPAR_DEMANDADO,DEMANDADO
CALIDCOMPAR_ACREEDOR_ACLARANTE,ACREEDOR ACLARANTE
CALIDCOMPAR_DENUNCIADO,DENUNCIADO
CALIDCOMPAR_CEDENTE,CEDENTE
CALIDCOMPAR_FIDEICOMISARIO,FIDEICOMISARIO
CALIDCOMPAR_PRESIDENTE,PRESIDENTE
CALIDCOMPAR_CESIONARIO,CESIONARIO
CALIDCOMPAR_USUFRUCTUARIO,USUFRUCTUARIO
CALIDCOMPAR_FIDEICOMITENTE,FIDEICOMITENTE
CALIDCOMPAR_ADJUDICADOR_ADJUDICATARIO,ADJUDICADOR / ADJUDICATARIO
CALIDCOMPAR_SOLICITANTE,SOLICITANTE
CALIDCOMPAR_ADHERENTE,ADHERENTE
CALIDCOMPAR_TESTADOR,TESTADOR
CALIDCOMPAR_AFECTADO,AFECTADO
CALIDCOMPAR_QUEBRADO,QUEBRADO
