id,name
TIPO_LIBRO_LIBRO_DE_ARRENDAMIENTOS_MERCANTILES,LIBRO DE ARRENDAMIENTOS MERCANTILES
TIPO_LIBRO_LIBRO_DE_CANCELACIONES,LIBRO DE CANCELACIONES
TIPO_LIBRO_LIBRO_DE_CESIÓN_DE_PARTICIPACIONES,LIBRO DE CESIÓN DE PARTICIPACIONES
TIPO_LIBRO_LIBRO_DE_COMPAÑÍAS_DE_VIGILANCIA_Y_SEGURIDAD_PRIVADA,LIBRO DE COMPAÑÍAS DE VIGILANCIA Y SEGURIDAD PRIVADA
TIPO_LIBRO_LIBRO_DE_COMPRAVENTA_CON_RESERVA_DE_DOMINIO,LIBRO DE COMPRAVENTA CON RESERVA DE DOMINIO
TIPO_LIBRO_LIBRO_DE_DISPOSICIONES_JUDICIALES,LIBRO DE DISPOSICIONES JUDICIALES
TIPO_LIBRO_LIBRO_DE_EMPRESAS_UNIPERSONALES_DE_RESPONSABILIDAD_LIMITADA,LIBRO DE EMPRESAS UNIPERSONALES DE RESPONSABILIDAD LIMITADA
TIPO_LIBRO_LIBRO_DE_INTERDICCIONES_Y_PROHIBICIONES_DE_ENAJENAR,LIBRO DE INTERDICCIONES Y PROHIBICIONES DE ENAJENAR
TIPO_LIBRO_LIBRO_DE_MATRÍCULAS_DE_COMERCIO,LIBRO DE MATRÍCULAS DE COMERCIO
TIPO_LIBRO_LIBRO_DE_NOMBRAMIENTOS,LIBRO DE NOMBRAMIENTOS
TIPO_LIBRO_LIBRO_DE_PRENDA_AGRÍCOLA,LIBRO DE PRENDA AGRÍCOLA
TIPO_LIBRO_LIBRO_DE_PRENDA_ESPECIAL_DE_COMERCIO,LIBRO DE PRENDA ESPECIAL DE COMERCIO
TIPO_LIBRO_LIBRO_DE_PRENDA_INDUSTRIAL,LIBRO DE PRENDA INDUSTRIAL
TIPO_LIBRO_LIBRO_DE_REGISTRO_MERCANTIL,LIBRO DE REGISTRO MERCANTIL
