id,name,"tramite_propiedad_ids/id"
TIPO_LIBRO_PROPIEDAD,PROPIEDAD,"TRAMITE_COMPRA_VENTA,TRAMITE_EXTINCIÓN_DE_PATRIMONIO_FAMILIAR,TRAMITE_POSESIÓN_EFECTIVA_P,TRAMITE_ADJUDICACIÓN"
TIPO_LIBRO_PROHIBICIONES,PROHIBICIONES,"TRAMITE_ADOSAMIENTO,TRAMITE_ARRENDAMIENTO"
TIPO_LIBRO_GRAVAMENES,GRAVAMENES,
TIPO_LIBRO_CANCELACIONES,CANCELACIONES,
TIPO_LIBRO_PERSONAS,PERSONAS,
TIPO_LIBRO_ACTOS_ADMINISTRATIVOS,ACTOS ADMINISTRATIVOS,
TIPO_LIBRO_SENTENCIAS,SENTENCIAS,
TIPO_LIBRO_EMBARGOS,EMBARGOS,
TIPO_LIBRO_DEMANDAS,DEMANDAS,
TIPO_LIBRO_INSOLVENCIA_E_INTERDICCION,INSOLVENCIA E INTERDICCION,
TIPO_LIBRO_CONVENIOS,CONVENIOS,
TIPO_LIBRO_PROPIEDAD_HORIZONTAL,PROPIEDAD HORIZONTAL,
TIPO_LIBRO_ORGANIZACIONES_RELIGIOSAS,ORGANIZACIONES RELIGIOSAS,
